bugid	bug	buggy	patch	lineNo	action
805	Mockito_8	buggy:    }    else    {    context:    }    ParameterizedType    parameterizedType    =    (ParameterizedType)    classType;    TypeVariable[]    typeParameters    =    ((Class<?>)    parameterizedType.getRawType()).getTypeParameters();    Type[]    actualTypeArguments    =    parameterizedType.getActualTypeArguments();    for    (int    i    =    0;    i    <    actualTypeArguments.length;    i++)    {    TypeVariable    typeParameter    =    typeParameters[i];    Type    actualTypeArgument    =    actualTypeArguments[i];    if    (actualTypeArgument    instanceof    WildcardType)    {    contextualActualTypeParameters.put(typeParameter,    boundsOf((WildcardType)    actualTypeArgument));            }    else    {    contextualActualTypeParameters.put(typeParameter,    actualTypeArgument);    }    }    }    protected    void    registerTypeParametersOn(TypeVariable[]    typeParameters)    {    for    (TypeVariable    typeVariable    :    typeParameters)    {    	}    else    if    (typeParameter    !=    actualTypeArgument)    {    	79	replace
698	Math_33	buggy:    if    (Precision.compareTo(entry,    0d,    maxUlps)    >    0)    {    context:   constraints  restrictToNonNegative   columnLabels  numDecisionVariables    numSlackVariables     epsilon    maxUlps       if    (getNumObjectiveFunctions()    ==    1)    {    return;    }    List<Integer>    columnsToDrop    =    new    ArrayList<Integer>();    columnsToDrop.add(0);    for    (int    i    =    getNumObjectiveFunctions();    i    <    getArtificialVariableOffset();    i++)    {    final    double    entry    =    tableau.getEntry(0,    i);            if    (Precision.compareTo(entry,    0d,    maxUlps)    >    0)    {    columnsToDrop.add(i);    }    }    for    (int    i    =    0;    i    <    getNumArtificialVariables();    i++)    {    int    col    =    i    +    getArtificialVariableOffset();    if    (getBasicRow(col)    ==    null)    {    	if    (Precision.compareTo(entry,    0d,    epsilon)    >    0)    {    	338	replace
159	Closure_92	buggy:    int    indexOfDot    =    namespace.indexOf('.');    context:    }    }    }    else    {    replacementNode    =    createDeclarationNode();    if    (firstModule    ==    minimumModule)    {    firstNode.getParent().addChildBefore(replacementNode,    firstNode);    }    else    {        int    indexOfDot    =    namespace.indexOf('.');    if    (indexOfDot    ==    -1)    {    compiler.getNodeForCodeInsertion(minimumModule)    .addChildToBack(replacementNode);    }    else    {    ProvidedName    parentName    =    providedNames.get(namespace.substring(0,    indexOfDot));    	int    indexOfDot    =    namespace.lastIndexOf('.');    	789	replace
133	Closure_66	buggy:    context:    break;    case    Token.NUMBER:    ensureTyped(t,    n,    NUMBER_TYPE);    break;    case    Token.STRING:    if    (!NodeUtil.isObjectLitKey(n,    n.getParent()))    {    ensureTyped(t,    n,    STRING_TYPE);    }    break;    case    Token.GET:    case    Token.SET:    break;    	}    else    {    typeable    =    false;    	516	add
88	Closure_20	buggy:    if    (value    !=    null)    {    context:    Node    callTarget    =    n.getFirstChild();    if    (callTarget    !=    null    &&    callTarget.isName()    &&    callTarget.getString().equals(   "String   "))    {    Node    value    =    callTarget.getNext();        if    (value    !=    null)    {    Node    addition    =    IR.add(    IR.string(   "   ").srcref(callTarget),    value.detachFromParent());    n.getParent().replaceChild(n,    addition);    reportCodeChange();    return    addition;    }    	if    (value    !=    null    &&    value.getNext()    ==    null    &&    NodeUtil.isImmutableValue(value))    {    	220	replace
120	Closure_52	buggy:    return    len    >    0;    context:    }    static    boolean    isSimpleNumber(String    s)    {    int    len    =    s.length();    for    (int    index    =    0;    index    <    len;    index++)    {    char    c    =    s.charAt(index);    if    (c    <    '0'    ||    c    >    '9')    {    return    false;    }    }    return    len    >    0;    }    static    double    getSimpleNumber(String    s)    {    if    (isSimpleNumber(s))    {    try    {    long    l    =    Long.parseLong(s);    if    (l    <    NodeUtil.MAX_POSITIVE_INTEGER_NUMBER)    {    return    l;    	return    len    >    0    &&    s.charAt(0)    !=    '0';    	745	replace
658	Lang_58	buggy:    &&    isDigits(numeric.substring(1))    &&    (numeric.charAt(0)    ==    '-'    ||    Character.isDigit(numeric.charAt(0))))    {    context:    exp    =    null;    }    String    numeric    =    str.substring(0,    str.length()    -    1);    boolean    allZeros    =    isAllZeros(mant)    &&    isAllZeros(exp);    switch    (lastChar)    {    case    'l'    :    case    'L'    :    if    (dec    ==    null    &&    exp    ==    null                    &&    isDigits(numeric.substring(1))                    &&    (numeric.charAt(0)    ==    '-'    ||    Character.isDigit(numeric.charAt(0))))    {    try    {    return    createLong(numeric);    }    catch    (NumberFormatException    nfe)    {    }    return    createBigInteger(numeric);    	&&    (numeric.charAt(0)    ==    '-'    &&    isDigits(numeric.substring(1))    ||    isDigits(numeric)))    {    	454	replace
123	Closure_55	buggy:    return    NodeUtil.isFunctionExpression(n);    context:    public    Node    parseHelperCode(Reducer    reducer)    {    Node    root    =    compiler.parseSyntheticCode(    reducer.getClass().toString()    +       ":helper   ",    reducer.getHelperSource());    return    (root    !=    null)    ?    root.removeFirstChild()    :    null;    }    private    static    boolean    isReduceableFunctionExpression(Node    n)    {    return    NodeUtil.isFunctionExpression(n);    }    private    class    Reduction    {    private    final    Node    parent;    	return    NodeUtil.isFunctionExpression(n)    &&    !NodeUtil.isGetOrSetKey(n.getParent());    	117	replace
199	Closure_133	buggy:    context:    next();    }    }    }    private    String    getRemainingJSDocLine()    {    String    result    =    stream.getRemainingJSDocLine();    return    result;    }    private    boolean    hasParsedFileOverviewDocInfo()    {    return    jsdocBuilder.isPopulatedWithFileOverview();    	unreadToken    =    NO_UNREAD_TOKEN;    	2401	add
724	Math_59	buggy:    return    (a    <=    b)    ?    b    :    (Float.isNaN(a    +    b)    ?    Float.NaN    :    b);    context:    public    static    long    max(final    long    a,    final    long    b)    {    return    (a    <=    b)    ?    b    :    a;    }    public    static    float    max(final    float    a,    final    float    b)    {            return    (a    <=    b)    ?    b    :    (Float.isNaN(a    +    b)    ?    Float.NaN    :    b);    }    public    static    double    max(final    double    a,    final    double    b)    {    	return    (a    <=    b)    ?    b    :    (Float.isNaN(a    +    b)    ?    Float.NaN    :    a);    	3482	replace
835	Mockito_38	buggy:    return    StringDescription.toString(m).equals(arg.toString());    context:    private    boolean    safelyMatches(Matcher    m,    Object    arg)    {    try    {    return    m.matches(arg);    }    catch    (Throwable    t)    {    return    false;    }    }    private    boolean    toStringEquals(Matcher    m,    Object    arg)    {            return    StringDescription.toString(m).equals(arg.toString());    }    }    	return    StringDescription.toString(m).equals(arg    ==    null?       "null   "    :    arg.toString());    	48	replace
125	Closure_57	buggy:    if    (target    !=    null)    {    context:    private    static    String    extractClassNameIfGoog(Node    node,    Node    parent,    String    functionName){    String    className    =    null;    if    (NodeUtil.isExprCall(parent))    {    Node    callee    =    node.getFirstChild();    if    (callee    !=    null    &&    callee.getType()    ==    Token.GETPROP)    {    String    qualifiedName    =    callee.getQualifiedName();    if    (functionName.equals(qualifiedName))    {    Node    target    =    callee.getNext();        if    (target    !=    null)    {    className    =    target.getString();    }    }    }    }    return    className;    }    	if    (target    !=    null    &&    target.getType()    ==    Token.STRING)    {    	197	replace
770	Math_105	buggy:    return    sumYY    -    sumXY    *    sumXY    /    sumXX;    context:    public    double    getSumSquaredErrors()    {            return    sumYY    -    sumXY    *    sumXY    /    sumXX;    }    	return    Math.max(0d,    sumYY    -    sumXY    *    sumXY    /    sumXX);    	264	replace
127	Closure_59	buggy:    if    (options.checkGlobalThisLevel.isOn())    {    context:    }    else    if    (!options.checkTypes)    {    options.setWarningLevel(    DiagnosticGroup.forType(    RhinoErrorReporter.TYPE_PARSE_ERROR),    CheckLevel.OFF);    }    if    (options.checkGlobalThisLevel.isOn())    {    options.setWarningLevel(    DiagnosticGroups.GLOBAL_THIS,    options.checkGlobalThisLevel);    }    if    (options.getLanguageIn()    ==    LanguageMode.ECMASCRIPT5_STRICT)    {    options.setWarningLevel(    	if    (options.checkGlobalThisLevel.isOn()    &&    !options.disables(DiagnosticGroups.GLOBAL_THIS))    {    	255	replace
769	Math_104	buggy:    private    static    final    double    DEFAULT_EPSILON    =    10e-9;    context:    public    class    Gamma    implements    Serializable    {    private    static    final    long    serialVersionUID    =    -6587513359895466954L;    private    static    final    double    DEFAULT_EPSILON    =    10e-9;    private    static    double[]    lanczos    =    {    0.99999999999999709182,    57.156235665862923517,    59.597960355475491248,    14.136097974741747174,    	private    static    final    double    DEFAULT_EPSILON    =    10e-15;    	37	replace
674	Math_9	buggy:    final    Line    reverted    =    new    Line(zero,    zero.subtract(direction));    context:    throw    new    MathIllegalArgumentException(LocalizedFormats.ZERO_NORM);    }    this.direction    =    new    Vector3D(1.0    /    FastMath.sqrt(norm2),    delta);    zero    =    new    Vector3D(1.0,    p1,    -p1.dotProduct(delta)    /    norm2,    delta);    }    public    Line    revert()    {            final    Line    reverted    =    new    Line(zero,    zero.subtract(direction));    return    reverted;    }    public    Vector3D    getDirection()    {    	final    Line    reverted    =    new    Line(this);    reverted.direction    =    reverted.direction.negate();    	87	replace
649	Lang_49	buggy:    context:    public    Fraction    reduce()    {    int    gcd    =    greatestCommonDivisor(Math.abs(numerator),    denominator);    if    (gcd    ==    1)    {    return    this;    }    return    Fraction.getFraction(numerator    /    gcd,    denominator    /    gcd);    }    	if    (numerator    ==    0)    {    return    equals(ZERO)    ?    this    :    ZERO;    }    	466	add
639	Lang_39	buggy:    context:    return    text;    }    int    start    =    0;    int    increase    =    0;    for    (int    i    =    0;    i    <    searchList.length;    i++)    {    int    greater    =    replacementList[i].length()    -    searchList[i].length();    if    (greater    >    0)    {    increase    +=    3    *    greater;    //    assume    3    matches    }    }    increase    =    Math.min(increase,    text.length()    /    5);    	if    (searchList[i]    ==    null    ||    replacementList[i]    ==    null)    {    continue;    }    	3676	add
12	Chart_12	buggy:    this.dataset    =    dataset;    context:    this(null);    }    public    MultiplePiePlot(CategoryDataset    dataset)    {    super();            this.dataset    =    dataset;    PiePlot    piePlot    =    new    PiePlot(null);    this.pieChart    =    new    JFreeChart(piePlot);    this.pieChart.removeLegend();    this.dataExtractOrder    =    TableOrder.BY_COLUMN;    this.pieChart.setBackgroundPaint(null);    TextTitle    seriesTitle    =    new    TextTitle(   "Series    Title   ",    new    Font(   "SansSerif   ",    Font.BOLD,    12));    seriesTitle.setPosition(RectangleEdge.BOTTOM);    	setDataset(dataset);    	145	replace
657	Lang_57	buggy:    return    cAvailableLocaleSet.contains(locale);    context:    }    public    static    boolean    isAvailableLocale(Locale    locale)    {            return    cAvailableLocaleSet.contains(locale);    }    	return    availableLocaleList().contains(locale);    	223	replace
