bugid	buggy	patch
elasticsearch_d4f03239179cdc8f29cd81fe457236c60e21de07	buggy:  if  (used  >=  0  &&  avail  >  0)  {  context:  int  shardCount  =  0;  if  (allocs.containsKey(node.id()))  {  shardCount  =  allocs.lget();  }  long  used  =  nodeStats.getFs().getTotal().getTotal().bytes()  -  nodeStats.getFs().getTotal().getAvailable().bytes();  long  avail  =  nodeStats.getFs().getTotal().getAvailable().bytes();  short  diskPercent  =  -1;              if  (used  >=  0  &&  avail  >  0)  {              if  (used  >=  0  &&  avail  >=  0)  {  diskPercent  =  (short)  (used  *  100  /  (used  +  avail));  }  table.startRow();  table.addCell(shardCount);  table.addCell(used  <  0  ?  null  :  new  ByteSizeValue(used));  table.addCell(avail  <  0  ?  null  :  new  ByteSizeValue(avail));  table.addCell(nodeStats.getFs().getTotal().getTotal());  	if  (used  >=  0  &&  avail  >=  0)  {  
elasticsearch_f993c4b72b4b2126dd02f02fa0e01c86aa5ab45c	buggy:  builder.startObject(HistogramFacetCollectorParser.NAME);  context:  if  (keyScript  ==  null  &&  keyFieldName  ==  null)  {  throw  new  SearchSourceBuilderException( "key_script  or  key_field  must  be  set  on  histogram  script  facet  for  facet  [ "  +  name  +   "] ");  }  if  (valueScript  ==  null)  {  throw  new  SearchSourceBuilderException( "value_script  must  be  set  on  histogram  script  facet  for  facet  [ "  +  name  +   "] ");  }  builder.startObject(name);          builder.startObject(HistogramFacetCollectorParser.NAME);          builder.startObject(HistogramFacet.TYPE);  if  (keyFieldName  !=  null)  {  builder.field( "key_field ",  keyFieldName);  }  else  if  (keyScript  !=  null)  {  builder.field( "key_script ",  keyScript);  }  builder.field( "value_script ",  valueScript);  if  (lang  !=  null)  {  builder.field( "lang ",  lang);  	builder.startObject(HistogramFacet.TYPE);  
elasticsearch_fbae6e940b0f7932022ea3da727079219e2dc3bb	buggy:  .persistentSettings().getAsMap().size(),  equalTo(0));  context:  try  {  Scope  currentClusterScope  =  getCurrentClusterScope();  if  (currentClusterScope  ==  Scope.TEST)  {  clearClusters();  //  it  is  ok  to  leave  persistent  /  transient  cluster  state  behind  if  scope  is  TEST  }  else  {  MetaData  metaData  =  client().admin().cluster().prepareState().execute().actionGet().getState().getMetaData();  assertThat( "test  leaves  persistent  cluster  metadata  behind:   "  +  metaData.persistentSettings().getAsMap(),  metaData  .persistentSettings().getAsMap().size(),  equalTo(0));  assertThat( "test  leaves  transient  cluster  metadata  behind:   "  +  metaData.transientSettings().getAsMap(),  metaData                          .persistentSettings().getAsMap().size(),  equalTo(0));                          .transientSettings().getAsMap().size(),  equalTo(0));  }  wipeIndices();  //  wipe  after  to  make  sure  we  fail  in  the  test  that  wipeTemplates();  ensureAllSearchersClosed();  ensureAllFilesClosed();  	.transientSettings().getAsMap().size(),  equalTo(0));  
elasticsearch_0d8330b50a081d4959ca4b4e245bf4d3594e0c8b	buggy:  assert  false  :   "should  fail ";  context:  .put(IndexMetaData.SETTING_NUMBER_OF_SHARDS,  1)  .put(IndexMetaData.SETTING_NUMBER_OF_REPLICAS,  0)  .build();  public  void  testIndicesBoost()  throws  Exception  {  ElasticsearchAssertions.assertHitCount(client().prepareSearch().setQuery(termQuery( "test ",   "value ")).get(),  0);  try  {  client().prepareSearch( "test ").setQuery(termQuery( "test ",   "value ")).execute().actionGet();              assert  false  :   "should  fail ";              fail( "should  fail ");  }  catch  (Exception  e)  {  }  client().admin().indices().create(createIndexRequest( "test1 ").settings(DEFAULT_SETTINGS)).actionGet();  client().admin().indices().create(createIndexRequest( "test2 ").settings(DEFAULT_SETTINGS)).actionGet();  client().index(indexRequest( "test1 ").type( "type1 ").id( "1 ")  .source(jsonBuilder().startObject().field( "test ",   "value  check ").endObject())).actionGet();  	fail( "should  fail ");  
elasticsearch_3b5b4b4c3ab0c5fb4edf16832d4aaf09169bba5b	buggy:  BroadcastOperationThreading  operationThreading  =  BroadcastOperationThreading.fromString(request.param( "operationThreading "),  BroadcastOperationThreading.SINGLE_THREAD);  context:  super(settings,  client);  controller.registerHandler(POST,   "/_refresh ",  this);  controller.registerHandler(POST,   "/{index}/_refresh ",  this);  }  RefreshRequest  refreshRequest  =  new  RefreshRequest(RestActions.splitIndices(request.param( "index ")));  refreshRequest.listenerThreaded(false);          BroadcastOperationThreading  operationThreading  =  BroadcastOperationThreading.fromString(request.param( "operationThreading "),  BroadcastOperationThreading.SINGLE_THREAD);          BroadcastOperationThreading  operationThreading  =  BroadcastOperationThreading.fromString(request.param( "operation_threading "),  BroadcastOperationThreading.SINGLE_THREAD);  if  (operationThreading  ==  BroadcastOperationThreading.NO_THREADS)  {  operationThreading  =  BroadcastOperationThreading.THREAD_PER_SHARD;  }  refreshRequest.operationThreading(operationThreading);  client.admin().indices().refresh(refreshRequest,  new  ActionListener<RefreshResponse>()  {  try  {  	BroadcastOperationThreading  operationThreading  =  BroadcastOperationThreading.fromString(request.param( "operation_threading "),  BroadcastOperationThreading.SINGLE_THREAD);  
elasticsearch_d6f1ff0150b8b2bb877868ee616906bcf3fae3e4	buggy:  assertThat(failure.reason(),  containsString( "[test]  [has_child]  unsupported  in  delete_by_query  api "));  context:  NumShards  twitter  =  getNumShards( "test ");  assertThat(response.status(),  equalTo(RestStatus.BAD_REQUEST));  assertThat(response.getIndex( "test ").getSuccessfulShards(),  equalTo(0));  assertThat(response.getIndex( "test ").getFailedShards(),  equalTo(twitter.numPrimaries));  assertThat(response.getIndices().size(),  equalTo(1));  assertThat(response.getIndices().get( "test ").getFailedShards(),  equalTo(twitter.numPrimaries));  assertThat(response.getIndices().get( "test ").getFailures().length,  equalTo(twitter.numPrimaries));  for  (ShardOperationFailedException  failure  :  response.getIndices().get( "test ").getFailures())  {              assertThat(failure.reason(),  containsString( "[test]  [has_child]  unsupported  in  delete_by_query  api "));              assertThat(failure.reason(),  containsString( "[test]  [has_child]  query  and  filter  unsupported  in  delete_by_query  api "));  assertThat(failure.status(),  equalTo(RestStatus.BAD_REQUEST));  assertThat(failure.shardId(),  greaterThan(-1));  }  }  public  void  testDeleteByFieldQuery()  throws  Exception  {  assertAcked(prepareCreate( "test ").addAlias(new  Alias( "alias ")));  	assertThat(failure.reason(),  containsString( "[test]  [has_child]  query  and  filter  unsupported  in  delete_by_query  api "));  
elasticsearch_645ce26287582d21541df2428fa0a17294e1f1cf	buggy:  return  RestStatus.CONFLICT;  context:  public  class  IndexPrimaryShardNotAllocatedException  extends  IndexException  {  public  IndexPrimaryShardNotAllocatedException(Index  index)  {  super(index,   "primary  not  allocated  post  api ");  }  public  RestStatus  status()  {          return  RestStatus.CONFLICT;          return  RestStatus.INTERNAL_SERVER_ERROR;  }  }  	return  RestStatus.INTERNAL_SERVER_ERROR;  
elasticsearch_18ff92662e032aaee268211bb02a3ec6a496d74b	buggy:  indexShard.bulk(new  Engine.Bulk(ops));  context:  }  else  if  (item.request()  instanceof  DeleteRequest)  {  DeleteRequest  deleteRequest  =  (DeleteRequest)  item.request();  try  {  ops[i]  =  indexShard.prepareDelete(deleteRequest.type(),  deleteRequest.id(),  deleteRequest.version()).origin(Engine.Operation.Origin.REPLICA);  }  catch  (Exception  e)  {  }  }  }          indexShard.bulk(new  Engine.Bulk(ops));          indexShard.bulk(new  Engine.Bulk(ops).refresh(request.refresh()));  }  private  void  updateMappingOnMaster(final  IndexRequest  request)  {  try  {  MapperService  mapperService  =  indicesService.indexServiceSafe(request.index()).mapperService();  final  DocumentMapper  documentMapper  =  mapperService.documentMapper(request.type());  if  (documentMapper  ==  null)  {  //  should  not  happen  return;  	indexShard.bulk(new  Engine.Bulk(ops).refresh(request.refresh()));  
elasticsearch_e01f8c250d9c79911180b2e383fb184f4d278222	buggy:  return  new  ThreadLocalRecycler<byte[]>(RECYCLER_C,  randomIntBetween(5,  10));  context:  package  org.elasticsearch.common.recycler;  public  class  ThreadLocalRecyclerTests  extends  AbstractRecyclerTests  {  protected  Recycler<byte[]>  newRecycler()  {          return  new  ThreadLocalRecycler<byte[]>(RECYCLER_C,  randomIntBetween(5,  10));          return  Recyclers.threadLocal(Recyclers.dequeFactory(RECYCLER_C,  10));  }  }  	return  Recyclers.threadLocal(Recyclers.dequeFactory(RECYCLER_C,  10));  
libgdx_53c753014534ac75ddb453622d7e9113b3fa7d25	buggy:  return  newPixmap(file.getInputStream());  context:  Bitmap  bitmap  =  BitmapFactory.decodeStream(in);  if  (bitmap  ==  null)  throw  new  GdxRuntimeException( "Couldn't  load  Pixmap  from  InputStream ");  return  new  AndroidPixmap(bitmap);  }  return  newPixmap(file.getInputStream());  return  newPixmap(file.readFile());  }  return  new  AndroidPixmap((Bitmap)nativePixmap);  }  	return  newPixmap(file.readFile());  
elasticsearch_36efde8c1d4e3e8e5cc2c4e909c838bc439a0b01	buggy:  invokeListener(new  SearchResponse(internalResponse,  scrollId,  expectedSuccessfulOps,  successulOps.get(),  buildTookInMillis(),  buildShardFailures()));  context:  queryFetchResults.put(result.shardTarget(),  result);  }  sortedShardList  =  searchPhaseController.sortDocs(queryFetchResults.values());  final  InternalSearchResponse  internalResponse  =  searchPhaseController.merge(sortedShardList,  queryFetchResults,  queryFetchResults);  String  scrollId  =  null;  if  (request.scroll()  !=  null)  {  scrollId  =  buildScrollId(request.searchType(),  queryFetchResults.values());  }              invokeListener(new  SearchResponse(internalResponse,  scrollId,  expectedSuccessfulOps,  successulOps.get(),  buildTookInMillis(),  buildShardFailures()));              listener.onResponse(new  SearchResponse(internalResponse,  scrollId,  expectedSuccessfulOps,  successulOps.get(),  buildTookInMillis(),  buildShardFailures()));  searchCache.releaseQueryFetchResults(queryFetchResults);  }  }  }  	listener.onResponse(new  SearchResponse(internalResponse,  scrollId,  expectedSuccessfulOps,  successulOps.get(),  buildTookInMillis(),  buildShardFailures()));  
elasticsearch_aac1374c76bec0d985c61d1c16502da4db8cfda3	buggy:  cluster().wipeIndices( "test ");  context:  final  String  fieldName  =   "field ";  final  String  mapping  =   "{  \ " "  +  mappingType  +   "\ ":  { "  +   "\ "dynamic_templates\ ":  [ "   "{  \ " "  +  fieldName  +   "\ ":  { "  +   "\ "path_match\ ":  \ "*\ ", "  +   "\ "mapping\ ":  { "  +   "\ "type\ ":  \ "string\ ", "  +   "\ "store\ ":  \ "yes\ ", "   "\ "index\ ":  \ "analyzed\ ",  \ "analyzer\ ":  \ "whitespace\ "  }  }  }  ]  }  } ";  int  iters  =  scaledRandomIntBetween(5,  15);  for  (int  i  =  0;  i  <  iters;  i++)  {              cluster().wipeIndices( "test ");              immutableCluster().wipeIndices( "test ");  assertAcked(prepareCreate( "test ")  .addMapping(mappingType,  mapping));  ensureYellow();  int  numDocs  =  scaledRandomIntBetween(10,  100);  final  CountDownLatch  latch  =  new  CountDownLatch(numDocs);  final  List<Throwable>  throwable  =  new  CopyOnWriteArrayList<>();  int  currentID  =  0;  for  (int  j  =  0;  j  <  numDocs;  j++)  {  	immutableCluster().wipeIndices( "test ");  
elasticsearch_861e33ee3d45143aa9f4efbd1225f44e9aeefdc2	buggy:  builder.put( "index.store ",  storeType);  context:  if  (between(0,  5)  ==  0)  {  builder.put( "gateway.fs.buffer_size ",  between(1,  100)  +   "kb ");  }  if  (between(0,  5)  ==  0)  {  builder.put( "gateway.fs.chunk_size ",  between(1,  100)  +   "kb ");  }  builder.put( "index.number_of_replicas ",   "1 ");  builder.put( "index.number_of_shards ",  rarely()  ?  Integer.toString(between(2,  6))  :   "1 ");  storeType  =  rarely()  ?   "ram "  :   "fs ";          builder.put( "index.store ",  storeType);          builder.put( "index.store.type ",  storeType);  defaultSettings  =  builder.build();  buildNode( "server1 ");  ((InternalNode)  node( "server1 ")).injector().getInstance(Gateway.class).reset();  closeAllNodes();  }  	builder.put( "index.store.type ",  storeType);  
elasticsearch_f1dd867c4f574e457eeca91cd842179725f2e010	buggy:  }  catch  (Exception  e)  {  context:  builder.value(match);  }  builder.endArray();  }  builder.endObject();  RestStatus  status  =  OK;  if  (response.getVersion()  ==  1)  {  status  =  CREATED;  }  channel.sendResponse(new  XContentRestResponse(request,  status,  builder));                  }  catch  (Exception  e)  {                  }  catch  (Throwable  e)  {  onFailure(e);  }  }  public  void  onFailure(Throwable  e)  {  try  {  channel.sendResponse(new  XContentThrowableRestResponse(request,  e));  	}  catch  (Throwable  e)  {  
elasticsearch_ff5990daec993cfcfbadafeb3fae4e460e77c7b1	buggy:  .listenerThreaded(false)  context:  if  (request.fields()  !=  null)  {  Collections.addAll(getFields,  request.fields());  }  getFields.add(SourceFieldMapper.NAME);  GetRequest  getRequest  =  getRequest(request.index())  .fields(getFields.toArray(new  String[getFields.size()]))  .type(request.type())  .id(request.id())                  .listenerThreaded(false)                  .listenerThreaded(true)  .operationThreaded(true);  request.beforeLocalFork();  getAction.execute(getRequest,  new  ActionListener<GetResponse>()  {  if  (!getResponse.exists())  {  listener.onFailure(new  ElasticSearchException( "document  missing "));  return;  	.listenerThreaded(true)  
elasticsearch_ebcc1e0bf5b0afcf76d7889bea94e9c8ff165535	buggy:  }  else  if  ( "id ".equals(currentFieldName))  {  context:  boolean  ignoreException  =  false;  while  ((token  =  parser.nextToken())  !=  XContentParser.Token.END_OBJECT)  {  if  (token  ==  XContentParser.Token.FIELD_NAME)  {  currentFieldName  =  parser.currentName();  }  else  if  (token  ==  XContentParser.Token.START_OBJECT)  {  params  =  parser.map();  }  else  if  (token.isValue())  {  if  ( "script ".equals(currentFieldName))  {  script  =  parser.text();  scriptType  =  ScriptService.ScriptType.INLINE;                          }  else  if  ( "id ".equals(currentFieldName))  {                          }  else  if  ( "script_id ".equals(currentFieldName))  {  script  =  parser.text();  scriptType  =  ScriptService.ScriptType.INDEXED;  }  else  if  ( "file ".equals(currentFieldName))  {  script  =  parser.text();  scriptType  =  ScriptService.ScriptType.FILE;  }  else  if  ( "lang ".equals(currentFieldName))  {  scriptLang  =  parser.text();  }  else  if  ( "ignore_failure ".equals(currentFieldName))  {  	}  else  if  ( "script_id ".equals(currentFieldName))  {  
elasticsearch_e1fe89389c4e6f81a59bbb4b6790ee18410ae895	buggy:  return  new  Response(matches,  request.doc().mappersAdded());  context:  }  finally  {  percolatorSearcher.release();  }  }  }  finally  {  indexCache.clear(searcher.getIndexReader());  }          return  new  Response(matches,  request.doc().mappersAdded());          return  new  Response(matches,  request.doc().mappingsModified());  }  private  IndexService  percolatorIndexServiceSafe()  {  IndexService  indexService  =  indicesService.indexService(PercolatorService.INDEX_NAME);  if  (indexService  ==  null)  {  throw  new  PercolateIndexUnavailable(new  Index(PercolatorService.INDEX_NAME));  }  return  indexService;  	return  new  Response(matches,  request.doc().mappingsModified());  
elasticsearch_03402c7ed8356241ac2407ad691709ee585b0bee	buggy:  indexRandom(true,  context:  return  FilterBuilders.rangeFilter(field).from(from).to(to).setExecution( "fielddata ");  }  }  else  {  return  FilterBuilders.numericRangeFilter(field).from(from).to(to);  }  }  public  void  testSimpleQueryString()  throws  ExecutionException,  InterruptedException  {  createIndex( "test ");          indexRandom(true,          indexRandom(true,  false,  client().prepareIndex( "test ",   "type1 ",   "1 ").setSource( "body ",   "foo "),  client().prepareIndex( "test ",   "type1 ",   "2 ").setSource( "body ",   "bar "),  client().prepareIndex( "test ",   "type1 ",   "3 ").setSource( "body ",   "foo  bar "),  client().prepareIndex( "test ",   "type1 ",   "4 ").setSource( "body ",   "quux  baz  eggplant "),  client().prepareIndex( "test ",   "type1 ",   "5 ").setSource( "body ",   "quux  baz  spaghetti "),  client().prepareIndex( "test ",   "type1 ",   "6 ").setSource( "otherbody ",   "spaghetti "));  SearchResponse  searchResponse  =  client().prepareSearch().setQuery(simpleQueryString( "foo  bar ")).get();  	indexRandom(true,  false,  
elasticsearch_db6f5a71464cac7ecb405decaced6d7d19f51775	buggy:  channel.sendResponse(new  XContentRestResponse(request,  OK,  builder));  context:  }  return;  }  client.search(searchRequest,  new  ActionListener<SearchResponse>()  {  try  {  XContentBuilder  builder  =  restContentBuilder(request);  builder.startObject();  response.toXContent(builder,  request);  builder.endObject();                      channel.sendResponse(new  XContentRestResponse(request,  OK,  builder));                      channel.sendResponse(new  XContentRestResponse(request,  response.status(),  builder));  }  catch  (Exception  e)  {  if  (logger.isDebugEnabled())  {  }  onFailure(e);  }  }  	channel.sendResponse(new  XContentRestResponse(request,  response.status(),  builder));  
libgdx_08381b421c08cb22df8f6725da269fc81e5548b1	buggy:  long  currentFrame  =  (lastTiledMapRenderTime  /  (long)animationInterval)  %  frameCount;  context:  return  blendMode;  }  public  void  setBlendMode  (BlendMode  blendMode)  {  this.blendMode  =  blendMode;  }  public  TextureRegion  getTextureRegion  ()  {  long  currentFrame  =  (lastTiledMapRenderTime  /  (long)animationInterval)  %  frameCount;  long  currentFrame  =  (lastTiledMapRenderTime  /  (long)(animationInterval  *  1000f))  %  frameCount;  return  frameTiles.get((int)currentFrame).getTextureRegion();  }  public  MapProperties  getProperties  ()  {  if  (properties  ==  null)  {  properties  =  new  MapProperties();  }  	long  currentFrame  =  (lastTiledMapRenderTime  /  (long)(animationInterval  *  1000f))  %  frameCount;  
elasticsearch_c08b96824605b62841193a80a75a2255d8348515	buggy:  return  ThreadPool.Names.CACHED;  context:  this.shardsState  =  shardsState;  return  this;  }  public  ActionFuture<NodesLocalGatewayStartedShards>  list(ShardId  shardId,  Set<String>  nodesIds,  @Nullable  TimeValue  timeout)  {  return  execute(new  Request(shardId,  nodesIds).timeout(timeout));  }  protected  String  executor()  {          return  ThreadPool.Names.CACHED;          return  ThreadPool.Names.GENERIC;  }  protected  String  transportAction()  {  return   "/gateway/local/started-shards ";  }  	return  ThreadPool.Names.GENERIC;  
elasticsearch_7bf0f1ffca589df6e626d61182689bde005ce649	buggy:  client.admin().indices().execPutMapping(putMappingRequest,  new  ActionListener<PutMappingResponse>()  {  context:  controller.registerHandler(PUT,   "/{index}/_mapping ",  this);  controller.registerHandler(PUT,   "/{index}/{type}/_mapping ",  this);  }  PutMappingRequest  putMappingRequest  =  putMappingRequest(splitIndices(request.param( "index ")));  putMappingRequest.type(request.param( "type "));  putMappingRequest.mappingSource(request.contentAsString());  putMappingRequest.timeout(request.paramAsTime( "timeout ",  timeValueSeconds(10)));  putMappingRequest.ignoreConflicts(request.paramAsBoolean( "ignoreConflicts ",  putMappingRequest.ignoreConflicts()));          client.admin().indices().execPutMapping(putMappingRequest,  new  ActionListener<PutMappingResponse>()  {          client.admin().indices().putMapping(putMappingRequest,  new  ActionListener<PutMappingResponse>()  {  try  {  JsonBuilder  builder  =  RestJsonBuilder.restJsonBuilder(request);  builder.startObject()  .field( "ok ",  true)  .field( "acknowledged ",  response.acknowledged());  builder.endObject();  channel.sendResponse(new  JsonRestResponse(request,  OK,  builder));  	client.admin().indices().putMapping(putMappingRequest,  new  ActionListener<PutMappingResponse>()  {  
elasticsearch_1952df982b69873544c00470293ee851697abbf4	buggy:  Set<String>  nodes  =  new  HashSet<String>();  context:  }  }  assertThat(num,  greaterThan(0));  }  private  Set<String>  nodeIdsWithIndex(String...  indices)  {  ClusterState  state  =  client().admin().cluster().prepareState().execute().actionGet().getState();  GroupShardsIterator  allAssignedShardsGrouped  =  state.routingTable().allAssignedShardsGrouped(indices,  true);          Set<String>  nodes  =  new  HashSet<String>();          Set<String>  nodes  =  new  HashSet<>();  for  (ShardIterator  shardIterator  :  allAssignedShardsGrouped)  {  for  (ShardRouting  routing  :  shardIterator.asUnordered())  {  if  (routing.active())  {  nodes.add(routing.currentNodeId());  }  }  }  	Set<String>  nodes  =  new  HashSet<>();  
elasticsearch_bae3203e3beee284ca79ef9e004dd7abb1cb5b94	buggy:  assertThat(clusterStateResponse.getState().nodes().nodes().size(),  is(cluster().size()));  context:  ClusterStateResponse  clusterStateResponse  =  client().admin().cluster().prepareState().clear().get();  assertThat(clusterStateResponse.getState().routingTable().hasIndex( "foo "),  is(false));  assertThat(clusterStateResponse.getState().routingTable().hasIndex( "fuu "),  is(false));  assertThat(clusterStateResponse.getState().routingTable().hasIndex( "baz "),  is(false));  assertThat(clusterStateResponse.getState().routingTable().hasIndex( "non-existent "),  is(false));  }  public  void  testNodes()  throws  Exception  {  ClusterStateResponse  clusterStateResponse  =  client().admin().cluster().prepareState().clear().setNodes(true).get();          assertThat(clusterStateResponse.getState().nodes().nodes().size(),  is(cluster().size()));          assertThat(clusterStateResponse.getState().nodes().nodes().size(),  is(immutableCluster().size()));  ClusterStateResponse  clusterStateResponseFiltered  =  client().admin().cluster().prepareState().clear().get();  assertThat(clusterStateResponseFiltered.getState().nodes().nodes().size(),  is(0));  }  public  void  testMetadata()  throws  Exception  {  ClusterStateResponse  clusterStateResponseUnfiltered  =  client().admin().cluster().prepareState().clear().setMetaData(true).get();  	assertThat(clusterStateResponse.getState().nodes().nodes().size(),  is(immutableCluster().size()));  
elasticsearch_7edafcf9a0813df24e3b7bdbe9c739cc9d70002d	buggy:  for  (int  i  =  0;  i  <  NUMBER_OF_ITERATIONS;  i++)  {  context:  }).txGet();  }  latch.countDown();  }  }).start();  }  new  Thread(new  Runnable()  {  public  void  run()  {                  for  (int  i  =  0;  i  <  NUMBER_OF_ITERATIONS;  i++)  {                  for  (int  i  =  0;  i  <  1;  i++)  {  BenchmarkMessage  message  =  new  BenchmarkMessage(2,  Bytes.EMPTY_ARRAY);  long  start  =  System.currentTimeMillis();  transportServiceClient.submitRequest(smallNode,   "benchmark ",  message,  options().withHighType(),  new  BaseTransportResponseHandler<BenchmarkMessage>()  {  public  BenchmarkMessage  newInstance()  {  return  new  BenchmarkMessage();  }  	for  (int  i  =  0;  i  <  1;  i++)  {  
elasticsearch_a3e355d40e2dd05ffbd7861d821e0d0116f32ced	buggy:  Snippet[]  fieldSnippets  =  highlighter.highlightDoc(highlighterContext.fieldName,  mapperHighlighterEntry.filteredQueryTerms,  context.searcher(),  hitContext.docId(),  numberOfFragments);  context:  if  (field.numberOfFragments()  ==  0)  {  highlighter.setBreakIterator(new  WholeBreakIterator());  numberOfFragments  =  1;  //1  per  value  since  we  highlight  per  value  }  else  {  numberOfFragments  =  field.numberOfFragments();  }  int  values  =  mergeValues  ?  1  :  textsToHighlight.size();  for  (int  i  =  0;  i  <  values;  i++)  {                  Snippet[]  fieldSnippets  =  highlighter.highlightDoc(highlighterContext.fieldName,  mapperHighlighterEntry.filteredQueryTerms,  context.searcher(),  hitContext.docId(),  numberOfFragments);                  Snippet[]  fieldSnippets  =  highlighter.highlightDoc(highlighterContext.fieldName,  mapperHighlighterEntry.filteredQueryTerms,  context.searcher(),  hitContext.topLevelDocId(),  numberOfFragments);  if  (fieldSnippets  !=  null)  {  for  (Snippet  fieldSnippet  :  fieldSnippets)  {  if  (Strings.hasText(fieldSnippet.getText()))  {  snippets.add(fieldSnippet);  }  }  }  }  	Snippet[]  fieldSnippets  =  highlighter.highlightDoc(highlighterContext.fieldName,  mapperHighlighterEntry.filteredQueryTerms,  context.searcher(),  hitContext.topLevelDocId(),  numberOfFragments);  
elasticsearch_1a1df06411455d2ac483963c1b617b8722265305	buggy:  return  numDocs  +  1;  context:  return  false;  }  public  int  getNumDocs()  {  return  numDocs;  }  public  int  getNumOrds()  {          return  numDocs  +  1;          return  numDocs;  }  public  Ordinals.Docs  ordinals()  {  return  new  Docs(this);  }  public  static  class  Docs  implements  Ordinals.Docs  {  	return  numDocs;  
elasticsearch_8c7779057ccc50e15cbae90e26ed4e5acebdb0e8	buggy:  return  size()  !=  0;  context:  }  }  public  int  size()  {  return  end  -  start;  }  public  boolean  isEmpty()  {          return  size()  !=  0;          return  size()  ==  0;  }  public  Float  get(int  index)  {  assert  index  <  size();  return  values[start  +  index];  }  	return  size()  ==  0;  
elasticsearch_0d8330b50a081d4959ca4b4e245bf4d3594e0c8b	buggy:  assert  false;  context:  .bytes());  assertThat(doc.rootDoc().get(UidFieldMapper.NAME),  notNullValue());  assertThat(doc.rootDoc().get(IdFieldMapper.NAME),  nullValue());  try  {  docMapper.parse( "type ",  null,  XContentFactory.jsonBuilder()  .startObject()  .endObject()  .bytes());              assert  false;              fail();  }  catch  (MapperParsingException  e)  {  }  doc  =  docMapper.parse( "type ",  null,  XContentFactory.jsonBuilder()  .startObject()  .field( "_id ",  1)  .endObject()  .bytes());  	fail();  
elasticsearch_1780a2a06704a45c88e449476065951e70ff3b79	buggy:  logger.warn( "suspect  illegal  state:  trying  to  move  shard  from  primary  mode  to  backup  mode ");  context:  return  this.shardRouting;  }  public  InternalIndexShard  routingEntry(ShardRouting  shardRouting)  {  ShardRouting  currentRouting  =  this.shardRouting;  if  (!shardRouting.shardId().equals(shardId()))  {  throw  new  ElasticSearchIllegalArgumentException( "Trying  to  set  a  routing  entry  with  shardId  [ "  +  shardRouting.shardId()  +   "]  on  a  shard  with  shardId  [ "  +  shardId()  +   "] ");  }  if  (currentRouting  !=  null)  {  if  (!shardRouting.primary()  &&  currentRouting.primary())  {                  logger.warn( "suspect  illegal  state:  trying  to  move  shard  from  primary  mode  to  backup  mode ");                  logger.warn( "suspect  illegal  state:  trying  to  move  shard  from  primary  mode  to  replica  mode ");  }  if  (currentRouting.equals(shardRouting))  {  return  this;  }  }  this.shardRouting  =  shardRouting;  indicesLifecycle.shardRoutingChanged(this,  currentRouting,  shardRouting);  	logger.warn( "suspect  illegal  state:  trying  to  move  shard  from  primary  mode  to  replica  mode ");  
elasticsearch_69ef822da6277d56d5fd6be42a2450fca95ee941	buggy:  filter.addShould(new  PrefixFilter(new  Term(UidFieldMapper.NAME,  Uid.createUid(queryType,  value))));  context:  public  Filter  prefixFilter(String  value,  @Nullable  QueryParseContext  context)  {  if  (indexed()  ||  context  ==  null)  {  return  super.prefixFilter(value,  context);  }  Collection<String>  queryTypes  =  context.queryTypes();  if  (queryTypes.size()  ==  1)  {  return  new  PrefixFilter(new  Term(UidFieldMapper.NAME,  Uid.createUid(Iterables.getFirst(queryTypes,  null),  value)));  }  XBooleanFilter  filter  =  new  XBooleanFilter();  for  (String  queryType  :  queryTypes)  {              filter.addShould(new  PrefixFilter(new  Term(UidFieldMapper.NAME,  Uid.createUid(queryType,  value))));              filter.add(new  PrefixFilter(new  Term(UidFieldMapper.NAME,  Uid.createUid(queryType,  value))),  BooleanClause.Occur.SHOULD);  }  return  filter;  }  public  void  preParse(ParseContext  context)  throws  IOException  {  if  (context.sourceToParse().id()  !=  null)  {  context.id(context.sourceToParse().id());  	filter.add(new  PrefixFilter(new  Term(UidFieldMapper.NAME,  Uid.createUid(queryType,  value))),  BooleanClause.Occur.SHOULD);  
libgdx_046cbdba425a117a558e6867ed30efc9b4f681e8	buggy:  new  JoglApplication(new  com.badlogic.gdx.tests.SimpleAnimationTest(),   "Debug  Test ",  480,  320,  false);  context:  package  com.badlogic.gdx.tests.jogl;  public  class  JoglDebugStarter  {  public  static  void  main  (String[]  argv)  {  new  JoglApplication(new  com.badlogic.gdx.tests.SimpleAnimationTest(),   "Debug  Test ",  480,  320,  false);  new  JoglApplication(new  com.badlogic.gdx.tests.EdgeDetectionTest(),   "Debug  Test ",  480,  320,  true);  }  }  	new  JoglApplication(new  com.badlogic.gdx.tests.EdgeDetectionTest(),   "Debug  Test ",  480,  320,  true);  
elasticsearch_1952df982b69873544c00470293ee851697abbf4	buggy:  return  new  Not<T>(p);  context:  return  any();  }  private  static  final  long  serialVersionUID  =  0;  }  public  static  <T>  Matcher<T>  not(final  Matcher<?  super  T>  p)  {          return  new  Not<T>(p);          return  new  Not<>(p);  }  private  static  class  Not<T>  extends  AbstractMatcher<T>  implements  Serializable  {  final  Matcher<?  super  T>  delegate;  private  Not(Matcher<?  super  T>  delegate)  {  this.delegate  =  checkNotNull(delegate,   "delegate ");  }  	return  new  Not<>(p);  
